task_id,target,task_weight,planned_task_duration_days,is_planned,is_cross_department,major_activity_weight,pct_of_planned_duration_elapsed,days_remaining_at_prediction,started_late,num_subtasks_as_of_prediction,subtask_completion_pct_as_of_prediction,has_subtasks_at_prediction,num_revisions_before_prediction,position_historical_overdue_rate,position_has_history,employee_active_workload_at_prediction,department_historical_overdue_rate,department_recent_overdue_rate_30d,department_has_history
0559ed1f-60e8-487d-adf6-52750c72ddee,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.105,t,236,0.143,0.208,t
058561c9-fcdf-4fe4-978c-9c5c089a5d95,f,0.00,4,t,f,10.00,0.25000000000000000000,3,t,0,,f,1,0.135,t,332,0.215,0.467,t
05896d16-eefd-4cda-9899-25082333ded7,f,0.00,3,t,f,34.00,0.33333333333333333333,2,t,0,,f,1,0.187,t,127,0.229,0.300,t
05937d46-f0f0-4209-82ef-0c64ae874d90,t,0.00,0,f,f,13.00,1.0,-1,t,0,,f,0,0.167,t,3,0.164,0.117,t
059b652b-3d3e-4dc8-8ad6-75a9a0af8940,t,0.00,4,f,f,16.00,0.25000000000000000000,3,t,0,,f,0,0.217,t,95,0.204,0.569,t
059e2d9d-a108-43f1-b184-d0f4ce815854,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,2,0.080,t,336,0.130,0.200,t
059eb2fc-b0a2-4261-b0c2-29c878f626ec,f,0.00,4,t,f,20.00,0.25000000000000000000,3,f,0,,f,2,0.252,t,57,0.175,0.139,t
05a9fb3f-fc42-4706-bfd7-1f43f7dc8415,t,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.466,t,196,0.388,0.566,t
05b6dc40-6660-4e3e-9e74-81e2a81859c9,t,0.00,4,t,f,33.00,0.25000000000000000000,3,t,0,,f,1,0.093,t,348,0.127,0.117,t
05c7860d-3675-4b37-a63e-6dee9038e7ef,f,0.00,4,f,f,33.00,0.25000000000000000000,3,t,0,,f,0,0.130,t,54,0.165,0.297,t
06035536-4654-4681-888c-a1bd9ec0aae8,f,0.00,3,t,f,34.00,0.33333333333333333333,2,t,0,,f,1,0.273,t,18,0.333,0.311,t
